"","Budget","Year","Type"
"56776",0.5,2004,"Comedy"
"56798",0.005,2004,"Comedy"
"56946",40,2004,"Comedy"
"56979",0.015,2003,"Comedy"
"571151",35,2002,"Comedy"
"57176",22,2003,"Comedy"
"57196",31,2004,"Comedy"
"57199",24,2004,"Comedy"
"57312",0.035,2005,"Comedy"
"57414",19,2004,"Comedy"
"57624",0.103,2003,"Comedy"
"57703",0.0012,2003,"Comedy"
"57913",0.8,2004,"Comedy"
"58015",0.005,2004,"Comedy"
"58023",1.5,2002,"Comedy"
"581051",0.1,2004,"Comedy"
"58630",8,2004,"Comedy"
"1549",6,2003,"Drama"
"1734",37,2004,"Drama"
"291",12,2004,"Drama"
"297",20,2003,"Drama"
"326",15,2002,"Drama"
"4328",17,2002,"Drama"
"5235",1.6,2004,"Drama"
"534",41,2002,"Drama"
"688",25,2002,"Drama"
"748",0.03,2004,"Drama"
"749",0.0068,2003,"Drama"
"7626",30,2002,"Drama"
"7631",27,2002,"Drama"
"9664",19,2002,"Drama"
"1372",0.5,2004,"Drama"
"15051",95,2004,"Drama"
"1559",150,2004,"Drama"
"157710",60,2004,"Drama"
"1597",1.5,2002,"Drama"
"1789",1,2003,"Drama"
"17922",0.012,2005,"Drama"
"241410",0.017,2003,"Drama"
"2438",0.02,2005,"Drama"
"2499",0.004,2004,"Drama"
"2617",0.05,2003,"Drama"
"2836",12.5,2002,"Drama"
"2859",0.001,2004,"Drama"
"2899",0.09,2002,"Drama"
"3278",0.0055,2004,"Drama"
"329110",0.004999,2005,"Drama"
"33596",20,2005,"Drama"
"33792",0.5,2003,"Drama"
"3422",0.008,2004,"Drama"
"3458",1,2002,"Drama"
"3625",7,2002,"Drama"
"3727",116,2004,"Drama"
"40942",6,2002,"Drama"
"4196",1.5,2005,"Drama"
"43166",10,2002,"Drama"
"43961",12,2002,"Drama"
"4503",50,2003,"Drama"
"46064",1,2003,"Drama"
"4742",1.5,2003,"Drama"
"47462",0.7,2003,"Drama"
"4774",6,2004,"Drama"
"4798",0.03,2004,"Drama"
"48131",14,2005,"Drama"
"48161",0.003,2002,"Drama"
"4885",10,2004,"Drama"
"49543",18,2004,"Drama"
"52566",0.75,2003,"Drama"
"5270",0.25,2002,"Drama"
"5279",0.05,2004,"Drama"
"5358",35,2003,"Drama"
"5404",24,2004,"Drama"
"55355",70,2003,"Drama"
"56574",0.75,2005,"Drama"
"5810",20,2004,"Drama"
"5857",0.002,2003,"Drama"
"6080",0.04,2003,"Drama"
"6188",5.1,2003,"Drama"
"6350",50,2002,"Drama"
"6431",5,2002,"Drama"
"6442",0.015,2004,"Drama"
"6479",0.003,2003,"Drama"
"6484",30,2002,"Drama"
"6542",0.05,2005,"Drama"
"6553",0.007,2003,"Drama"
"67681",20,2003,"Drama"
"6811",0.25,2004,"Drama"
"6831",20,2005,"Drama"
"70791",75,2002,"Drama"
"70801",75,2004,"Drama"
"71041",4,2002,"Drama"
"74371",70,2004,"Drama"
"7492",0.15,2003,"Drama"
"7586",0.07,2004,"Drama"
"7630",10,2003,"Drama"
"76321",8,2002,"Drama"
"7778",0.028,2003,"Drama"
"7866",0.7,2003,"Drama"
"7979",0.2,2002,"Drama"
"8027",13,2004,"Drama"
"8381",0.035,2002,"Drama"
"85221",3,2004,"Drama"
"8649",6,2003,"Drama"
"87071",1,2002,"Drama"
"89531",5,2004,"Drama"
"9033",52,2002,"Drama"
"93471",0.15,2002,"Drama"
"9352",0.032,2004,"Drama"
"9375",45,2002,"Drama"
"9433",5,2004,"Drama"
"9483",0.08,2002,"Drama"
"94881",0.95,2002,"Drama"
"95651",40,2003,"Drama"
"96431",1.5,2002,"Drama"
"96941",45,2002,"Drama"
"9779",10,2002,"Drama"
"9932",3.5,2002,"Drama"
"10043",6.8,2005,"Drama"
"100751",5,2002,"Drama"
"10091",3.3,2002,"Drama"
"10241",60,2002,"Drama"
"10270",0.5,2002,"Drama"
"103901",2.5,2002,"Drama"
"10484",30,2005,"Drama"
"10539",7.5,2003,"Drama"
"10568",0.004,2004,"Drama"
"10602",83,2003,"Drama"
"10625",65,2004,"Drama"
"10876",15,2003,"Drama"
"10966",29,2002,"Drama"
"10984",15,2003,"Drama"
"110111",0.5,2003,"Drama"
"110571",100,2005,"Drama"
"112021",74,2003,"Drama"
"113281",35,2002,"Drama"
"11360",12,2004,"Drama"
"114471",2,2003,"Drama"
"11499",6.5,2004,"Drama"
"11639",1.8,2002,"Drama"
"117651",12,2002,"Drama"
"11808",0.5,2004,"Drama"
"12067",55,2002,"Drama"
"12369",12,2002,"Drama"
"124621",15,2002,"Drama"
"126381",28,2004,"Drama"
"126471",125,2004,"Drama"
"126591",1.5,2004,"Drama"
"12669",0.5,2003,"Drama"
"13036",0.005,2004,"Drama"
"13053",0.05,2004,"Drama"
"131871",0.02,2002,"Drama"
"13368",0.05,2004,"Drama"
"134271",0.035,2003,"Drama"
"13536",0.2,2003,"Drama"
"135441",10,2003,"Drama"
"135661",10,2002,"Drama"
"13670",5,2003,"Drama"
"137871",5.5,2005,"Drama"
"13858",13,2004,"Drama"
"13956",0.077,2002,"Drama"
"14006",10,2002,"Drama"
"141161",27,2002,"Drama"
"14348",0.005,2003,"Drama"
"14394",2.5,2002,"Drama"
"14548",0.5,2004,"Drama"
"14912",60,2002,"Drama"
"14970",0.0235,2004,"Drama"
"15019",0.003,2004,"Drama"
"150941",20,2002,"Drama"
"15325",4,2005,"Drama"
"15474",0.06,2005,"Drama"
"15559",0.01,2004,"Drama"
"15711",3,2003,"Drama"
"15724",0.025,2004,"Drama"
"15763",0.001,2003,"Drama"
"15873",4.5,2002,"Drama"
"15882",12.5,2002,"Drama"
"158871",3.5,2002,"Drama"
"15906",0.17,2004,"Drama"
"16101",38,2002,"Drama"
"16371",0.1,2002,"Drama"
"164241",20,2004,"Drama"
"164481",10,2004,"Drama"
"16485",10,2002,"Drama"
"16490",0.5,2002,"Drama"
"165051",0.02,2002,"Drama"
"165251",0.027,2002,"Drama"
"16556",0.25,2004,"Drama"
"16704",0.05,2003,"Drama"
"167201",0.0035,2004,"Drama"
"16858",0.008,2003,"Drama"
"16877",1,2005,"Drama"
"16996",0.075,2003,"Drama"
"17070",0.005,2004,"Drama"
"17144",13.5,2002,"Drama"
"17146",0.01,2003,"Drama"
"17205",5,2004,"Drama"
"172231",4.5,2003,"Drama"
"178432",94,2003,"Drama"
"17890",1,2002,"Drama"
"178981",0.155,2003,"Drama"
"181521",0.5,2002,"Drama"
"18484",0.06,2002,"Drama"
"18634",42,2004,"Drama"
"18714",80,2002,"Drama"
"189231",26,2003,"Drama"
"18976",2,2004,"Drama"
"19029",12,2002,"Drama"
"19039",30,2004,"Drama"
"192681",2,2002,"Drama"
"19517",20,2005,"Drama"
"19575",97,2002,"Drama"
"196031",6,2002,"Drama"
"196211",2.5,2004,"Drama"
"19930",3.5,2002,"Drama"
"20450",12,2002,"Drama"
"205531",56,2003,"Drama"
"207751",18,2003,"Drama"
"207891",5,2002,"Drama"
"20876",0.015,2005,"Drama"
"21175",0.008,2003,"Drama"
"21319",0.004,2004,"Drama"
"213461",3.7,2003,"Drama"
"219481",0.3,2005,"Drama"
"221781",0.05,2003,"Drama"
"22199",70,2002,"Drama"
"22390",0.017,2005,"Drama"
"22409",3,2003,"Drama"
"22412",7,2002,"Drama"
"22478",11,2002,"Drama"
"229261",78,2004,"Drama"
"22951",30,2005,"Drama"
"22975",42,2002,"Drama"
"231031",0.1,2004,"Drama"
"23195",0.033,2003,"Drama"
"233711",30,2003,"Drama"
"234161",16,2002,"Drama"
"23527",6.5,2004,"Drama"
"23572",2,2002,"Drama"
"23614",17,2003,"Drama"
"23737",0.001,2004,"Drama"
"23811",52,2005,"Drama"
"23951",25,2002,"Drama"
"24005",16,2003,"Drama"
"24040",12,2002,"Drama"
"241021",16,2003,"Drama"
"24230",0.1,2002,"Drama"
"242341",120,2003,"Drama"
"24319",0.004,2005,"Drama"
"243212",0.03,2003,"Drama"
"24431",8,2003,"Drama"
"24500",0.125,2004,"Drama"
"24779",30,2003,"Drama"
"248401",9,2002,"Drama"
"24848",1.2,2004,"Drama"
"24937",0.008,2004,"Drama"
"249381",10,2004,"Drama"
"249921",15,2002,"Drama"
"250021",40,2002,"Drama"
"25097",0.0035,2003,"Drama"
"25099",1.9,2002,"Drama"
"25414",0.001,2004,"Drama"
"25474",46,2002,"Drama"
"25476",0.02,2003,"Drama"
"25500",2,2004,"Drama"
"25505",3.8,2002,"Drama"
"255181",5,2003,"Drama"
"25536",80,2005,"Drama"
"25539",0.07,2004,"Drama"
"255411",7,2002,"Drama"
"25549",0.75,2002,"Drama"
"25565",0.039,2004,"Drama"
"256311",5,2003,"Drama"
"25787",0.9,2003,"Drama"
"25850",0.075,2002,"Drama"
"26238",5.74,2003,"Drama"
"263931",35,2004,"Drama"
"26644",36,2002,"Drama"
"26950",5,2002,"Drama"
"26981",0.026,2004,"Drama"
"27148",100,2002,"Drama"
"274832",0.005,2004,"Drama"
"27488",0.85,2004,"Drama"
"27513",4,2004,"Drama"
"27626",0.075,2004,"Drama"
"277191",55,2003,"Drama"
"277201",30,2004,"Drama"
"278021",0.02,2004,"Drama"
"27805",25,2002,"Drama"
"278521",90,2004,"Drama"
"279411",130,2005,"Drama"
"27966",11,2004,"Drama"
"28027",0.025,2004,"Drama"
"28850",0.215,2002,"Drama"
"29016",0.05,2004,"Drama"
"290991",100,2003,"Drama"
"29143",0.0085,2002,"Drama"
"29192",0.05,2002,"Drama"
"292021",0.85,2003,"Drama"
"293401",0.65,2002,"Drama"
"293491",0.03,2002,"Drama"
"295491",0.03,2004,"Drama"
"29696",7.5,2003,"Drama"
"29746",0.066,2002,"Drama"
"29762",11,2002,"Drama"
"298231",25,2004,"Drama"
"29860",50,2003,"Drama"
"299842",80,2002,"Drama"
"301251",35,2004,"Drama"
"30320",0.15,2004,"Drama"
"303271",0.1,2003,"Drama"
"30500",0.5,2005,"Drama"
"307571",4,2003,"Drama"
"30767",0.015,2003,"Drama"
"307691",30,2005,"Drama"
"30813",0.35,2005,"Drama"
"30894",1,2002,"Drama"
"31059",0.5,2004,"Drama"
"31205",4,2002,"Drama"
"31263",2,2003,"Drama"
"31393",1.5,2004,"Drama"
"31493",0.025,2002,"Drama"
"31534",0.019,2003,"Drama"
"31880",0.2,2003,"Drama"
"318991",0.002,2005,"Drama"
"319091",36,2003,"Drama"
"320711",70,2004,"Drama"
"32199",0.024,2002,"Drama"
"32223",0.75,2004,"Drama"
"32276",5,2004,"Drama"
"326351",150,2003,"Drama"
"32769",1.7,2002,"Drama"
"32851",0.5,2004,"Drama"
"328531",17,2004,"Drama"
"330971",7.5,2002,"Drama"
"331601",30,2004,"Drama"
"33170",0.005,2003,"Drama"
"332941",0.019,2003,"Drama"
"33380",6,2004,"Drama"
"334921",0.25,2003,"Drama"
"33572",0.055,2004,"Drama"
"33609",30,2004,"Drama"
"33656",0.012,2004,"Drama"
"33690",0.006,2003,"Drama"
"337271",102,2002,"Drama"
"339701",1,2004,"Drama"
"34045",12,2004,"Drama"
"341531",65,2003,"Drama"
"34276",1,2004,"Drama"
"34278",8,2003,"Drama"
"34290",0.01,2004,"Drama"
"34371",20,2002,"Drama"
"344721",0.008,2005,"Drama"
"346901",1,2003,"Drama"
"347091",30,2004,"Drama"
"34865",0.8,2003,"Drama"
"35439",30,2003,"Drama"
"354501",0.065,2003,"Drama"
"35517",0.02,2003,"Drama"
"35619",0.075,2002,"Drama"
"35681",7.5,2002,"Drama"
"360091",0.007,2002,"Drama"
"36140",0.05,2004,"Drama"
"36220",10,2002,"Drama"
"36235",2,2005,"Drama"
"36892",0.5,2002,"Drama"
"36910",0.01,2003,"Drama"
"36924",1.9,2003,"Drama"
"36987",30,2004,"Drama"
"37006",0.3,2003,"Drama"
"37055",0.3,2004,"Drama"
"370992",0.25,2005,"Drama"
"37399",0.001,2004,"Drama"
"37637",5,2002,"Drama"
"37891",12,2002,"Drama"
"38037",0.092,2004,"Drama"
"38061",26,2003,"Drama"
"38066",0.13,2003,"Drama"
"381551",18,2002,"Drama"
"38262",0.046,2003,"Drama"
"384671",20,2004,"Drama"
"385081",0.02,2002,"Drama"
"38605",10,2003,"Drama"
"38644",0.015,2002,"Drama"
"38852",48,2002,"Drama"
"38888",3.5,2004,"Drama"
"38903",20,2004,"Drama"
"39144",5,2003,"Drama"
"39243",30,2004,"Drama"
"39486",0.02,2004,"Drama"
"39851",60,2004,"Drama"
"39925",35,2002,"Drama"
"400011",0.3,2003,"Drama"
"40522",1.8,2005,"Drama"
"40694",4,2002,"Drama"
"41136",0.15,2003,"Drama"
"41224",0.007,2004,"Drama"
"416801",25,2002,"Drama"
"42005",30,2002,"Drama"
"42080",6,2002,"Drama"
"421061",0.083,2002,"Drama"
"42133",35,2003,"Drama"
"42283",15,2004,"Drama"
"422901",0.8,2002,"Drama"
"425421",3,2002,"Drama"
"42546",0.012,2002,"Drama"
"426201",0.015,2003,"Drama"
"42622",0.002,2004,"Drama"
"42702",0.075,2004,"Drama"
"42843",0.002,2002,"Drama"
"43374",45,2002,"Drama"
"43420",30,2002,"Drama"
"43442",0.0015,2002,"Drama"
"43544",80,2002,"Drama"
"43790",2.763806,2004,"Drama"
"43892",24,2002,"Drama"
"439011",6,2003,"Drama"
"43941",0.0048,2002,"Drama"
"441331",4,2002,"Drama"
"44188",60,2003,"Drama"
"444931",0.78,2003,"Drama"
"44554",18,2002,"Drama"
"44923",0.015,2002,"Drama"
"449441",5,2004,"Drama"
"449841",0.5,2004,"Drama"
"45071",0.075,2004,"Drama"
"45362",86,2003,"Drama"
"454481",30,2003,"Drama"
"45517",40,2004,"Drama"
"45820",0.015,2005,"Drama"
"46073",6.8,2003,"Drama"
"461781",40,2004,"Drama"
"46235",4,2003,"Drama"
"46241",0.038,2004,"Drama"
"46263",6,2003,"Drama"
"46349",0.125,2003,"Drama"
"46546",0.025,2004,"Drama"
"466031",0.2,2002,"Drama"
"467461",16,2004,"Drama"
"46826",72,2002,"Drama"
"46859",4.5,2002,"Drama"
"469071",8,2003,"Drama"
"46960",3.5,2002,"Drama"
"470381",10,2003,"Drama"
"470561",0.5,2002,"Drama"
"47138",0.05,2002,"Drama"
"472422",0.4,2003,"Drama"
"47351",0.5,2002,"Drama"
"47403",12,2003,"Drama"
"47845",47,2002,"Drama"
"47872",0.003,2003,"Drama"
"47906",0.005,2005,"Drama"
"480341",2,2002,"Drama"
"48338",0.018,2004,"Drama"
"483801",80,2004,"Drama"
"48508",8,2002,"Drama"
"486851",2.8,2002,"Drama"
"488511",0.245,2005,"Drama"
"489031",70,2002,"Drama"
"48947",1,2004,"Drama"
"49004",0.4,2004,"Drama"
"49005",23,2003,"Drama"
"49007",16,2004,"Drama"
"49009",0.5,2003,"Drama"
"49014",4,2005,"Drama"
"490381",25,2002,"Drama"
"49044",0.025,2004,"Drama"
"490492",20,2004,"Drama"
"491071",90,2004,"Drama"
"49162",0.001,2003,"Drama"
"49211",1.5,2002,"Drama"
"49438",0.001,2004,"Drama"
"49631",0.008,2004,"Drama"
"49681",1.2,2003,"Drama"
"498201",68,2002,"Drama"
"49823",1.5,2004,"Drama"
"49845",0.3,2003,"Drama"
"49846",0.002,2004,"Drama"
"49945",5.6,2002,"Drama"
"50136",27,2004,"Drama"
"502011",2.5,2004,"Drama"
"502691",38,2002,"Drama"
"50325",8.5,2002,"Drama"
"505211",0.15,2002,"Drama"
"505231",12.8,2004,"Drama"
"50583",0.008,2004,"Drama"
"510021",70,2003,"Drama"
"51015",1.2,2002,"Drama"
"51059",0.5,2003,"Drama"
"512411",60,2004,"Drama"
"51440",0.15,2004,"Drama"
"51724",1.5,2003,"Drama"
"517641",1,2002,"Drama"
"521741",2,2002,"Drama"
"52215",0.825,2002,"Drama"
"52227",0.045,2004,"Drama"
"52406",14.3,2003,"Drama"
"52467",0.001,2004,"Drama"
"52759",1.5,2004,"Drama"
"52960",1,2002,"Drama"
"52982",0.001,2004,"Drama"
"53112",1.8,2003,"Drama"
"531521",140,2002,"Drama"
"53349",1,2004,"Drama"
"53381",0.005,2004,"Drama"
"534371",185,2004,"Drama"
"53550",15,2002,"Drama"
"53582",10,2003,"Drama"
"53767",0.35,2003,"Drama"
"54163",0.0033,2003,"Drama"
"542581",18,2003,"Drama"
"543131",20,2002,"Drama"
"54371",50,2002,"Drama"
"54436",0.01,2004,"Drama"
"544922",15,2004,"Drama"
"546041",13.2,2005,"Drama"
"54658",0.055,2004,"Drama"
"54922",23,2004,"Drama"
"54981",7,2004,"Drama"
"55137",17,2003,"Drama"
"551381",0.015,2004,"Drama"
"55260",0.012,2004,"Drama"
"55405",60,2004,"Drama"
"556291",3,2004,"Drama"
"55651",3.3,2004,"Drama"
"55963",11,2002,"Drama"
"559791",56,2004,"Drama"
"56191",0.198,2005,"Drama"
"56264",3,2004,"Drama"
"562751",75,2002,"Drama"
"563321",0.022,2003,"Drama"
"56343",0.04,2004,"Drama"
"565841",20,2003,"Drama"
"56679",3,2003,"Drama"
"56840",0.04,2004,"Drama"
"56848",16,2002,"Drama"
"56991",0.5,2002,"Drama"
"56998",30,2004,"Drama"
"571761",22,2003,"Drama"
"571961",31,2004,"Drama"
"572371",115,2002,"Drama"
"57340",11,2002,"Drama"
"57623",7.5,2004,"Drama"
"57683",0.05,2002,"Drama"
"57936",0.01,2004,"Drama"
"580231",1.5,2002,"Drama"
"580601",30,2002,"Drama"
"58070",6,2004,"Drama"
"581052",0.1,2004,"Drama"
"58130",8,2004,"Drama"
"58194",0.04,2004,"Drama"
"58219",0.03,2004,"Drama"
"586301",8,2004,"Drama"
"587381",1.3,2002,"Drama"
"934",0.03,2003,"Documentary"
"1159",0.007,2002,"Documentary"
"17923",0.012,2005,"Documentary"
"289910",0.09,2002,"Documentary"
"5763",0.004,2004,"Documentary"
"71042",4,2002,"Documentary"
"7115",0.085,2004,"Documentary"
"7623",0.5,2003,"Documentary"
"7999",0.1,2004,"Documentary"
"9592",0.0055,2003,"Documentary"
"10018",0.01,2002,"Documentary"
"10213",0.004,2004,"Documentary"
"10320",0.025,2004,"Documentary"
"10517",0.3,2002,"Documentary"
"107671",0.5,2005,"Documentary"
"11194",10,2003,"Documentary"
"11728",0.75,2002,"Documentary"
"12076",0.005,2002,"Documentary"
"13124",5,2003,"Documentary"
"13965",0.5,2003,"Documentary"
"14598",0.001,2004,"Documentary"
"14960",0.065,2005,"Documentary"
"153461",3,2003,"Documentary"
"15550",0.08,2004,"Documentary"
"15988",0.06,2004,"Documentary"
"16039",0.25,2003,"Documentary"
"16895",6,2004,"Documentary"
"170701",0.005,2004,"Documentary"
"19363",0.75,2004,"Documentary"
"20096",13,2003,"Documentary"
"20260",0.23,2003,"Documentary"
"20434",0.05,2004,"Documentary"
"21402",0.01,2003,"Documentary"
"22707",0.25,2003,"Documentary"
"23553",0.5,2004,"Documentary"
"24271",0.05,2004,"Documentary"
"25397",0.001,2004,"Documentary"
"25770",0.005,2004,"Documentary"
"260981",5,2002,"Documentary"
"27585",0.09,2004,"Documentary"
"28416",0.2,2004,"Documentary"
"29760",0.1,2004,"Documentary"
"32405",0.825,2004,"Documentary"
"325231",3,2002,"Documentary"
"33368",0.2,2004,"Documentary"
"33810",0.01,2004,"Documentary"
"350021",0.003,2002,"Documentary"
"35254",0.06,2002,"Documentary"
"35676",3,2002,"Documentary"
"37985",0.01,2002,"Documentary"
"38466",0.008,2004,"Documentary"
"38520",0.2,2004,"Documentary"
"39046",0.1,2004,"Documentary"
"41157",0.05,2004,"Documentary"
"41664",3,2002,"Documentary"
"42428",0.12,2004,"Documentary"
"42525",8,2003,"Documentary"
"45388",0.3,2004,"Documentary"
"45390",0.6,2002,"Documentary"
"46254",4,2004,"Documentary"
"46579",0.2,2004,"Documentary"
"47873",0.18,2004,"Documentary"
"48857",0.001,2002,"Documentary"
"49972",0.3,2004,"Documentary"
"51743",0.01,2005,"Documentary"
"52033",0.15,2003,"Documentary"
"53376",1,2004,"Documentary"
"54147",0.05,2004,"Documentary"
"54206",0.05,2003,"Documentary"
"54785",0.02,2002,"Documentary"
"56319",0.15,2002,"Documentary"
"56942",0.05,2003,"Documentary"
"57276",0.015,2004,"Documentary"
"9341",0.03,2003,"Documentary"
"11592",0.007,2002,"Documentary"
"179210",0.012,2005,"Documentary"
"289911",0.09,2002,"Documentary"
"576310",0.004,2004,"Documentary"
"71043",4,2002,"Documentary"
"71151",0.085,2004,"Documentary"
"76231",0.5,2003,"Documentary"
"79991",0.1,2004,"Documentary"
"95921",0.0055,2003,"Documentary"
"100181",0.01,2002,"Documentary"
"102131",0.004,2004,"Documentary"
"103201",0.025,2004,"Documentary"
"105171",0.3,2002,"Documentary"
"107672",0.5,2005,"Documentary"
"111941",10,2003,"Documentary"
"117281",0.75,2002,"Documentary"
"120761",0.005,2002,"Documentary"
"131241",5,2003,"Documentary"
"139651",0.5,2003,"Documentary"
"145981",0.001,2004,"Documentary"
"149601",0.065,2005,"Documentary"
"153462",3,2003,"Documentary"
"155501",0.08,2004,"Documentary"
"159881",0.06,2004,"Documentary"
"160391",0.25,2003,"Documentary"
"168951",6,2004,"Documentary"
"170702",0.005,2004,"Documentary"
"193631",0.75,2004,"Documentary"
"200961",13,2003,"Documentary"
"202601",0.23,2003,"Documentary"
"204341",0.05,2004,"Documentary"
"214021",0.01,2003,"Documentary"
"227071",0.25,2003,"Documentary"
"235531",0.5,2004,"Documentary"
"242711",0.05,2004,"Documentary"
"253971",0.001,2004,"Documentary"
"257701",0.005,2004,"Documentary"
"260982",5,2002,"Documentary"
"275851",0.09,2004,"Documentary"
"284161",0.2,2004,"Documentary"
"297601",0.1,2004,"Documentary"
"324051",0.825,2004,"Documentary"
"325232",3,2002,"Documentary"
"333681",0.2,2004,"Documentary"
"338101",0.01,2004,"Documentary"
"350022",0.003,2002,"Documentary"
"352541",0.06,2002,"Documentary"
"356761",3,2002,"Documentary"
"379851",0.01,2002,"Documentary"
"384661",0.008,2004,"Documentary"
"385201",0.2,2004,"Documentary"
"390461",0.1,2004,"Documentary"
"411571",0.05,2004,"Documentary"
"416641",3,2002,"Documentary"
"424281",0.12,2004,"Documentary"
"425251",8,2003,"Documentary"
"453881",0.3,2004,"Documentary"
"453901",0.6,2002,"Documentary"
"462541",4,2004,"Documentary"
"465791",0.2,2004,"Documentary"
"478731",0.18,2004,"Documentary"
"488571",0.001,2002,"Documentary"
"499721",0.3,2004,"Documentary"
"517431",0.01,2005,"Documentary"
"520331",0.15,2003,"Documentary"
"533761",1,2004,"Documentary"
"541471",0.05,2004,"Documentary"
"542061",0.05,2003,"Documentary"
"547851",0.02,2002,"Documentary"
"563191",0.15,2002,"Documentary"
"569421",0.05,2003,"Documentary"
"572761",0.015,2004,"Documentary"
